scheme_code,scheme_name,category,mandate_size_score,mandate_style_score,benchmark_index
120503,HDFC Mid-Cap Opportunities Fund,Mid Cap Fund,0.50,0.55,Nifty Midcap 150 TRI
119551,Nippon India Small Cap Fund,Small Cap Fund,0.15,0.60,Nifty Smallcap 250 TRI
125354,Axis Bluechip Fund,Large Cap Fund,0.85,0.70,Nifty 50 TRI
119598,SBI Magnum Midcap Fund,Mid Cap Fund,0.50,0.50,Nifty Midcap 150 TRI
118989,Mirae Asset Large Cap Fund,Large Cap Fund,0.85,0.65,Nifty 100 TRI
135781,Parag Parikh Flexi Cap Fund,Flexi Cap Fund,0.60,0.55,Nifty 500 TRI
120716,Franklin India Smaller Companies Fund,Small Cap Fund,0.20,0.45,Nifty Smallcap 250 TRI
118825,Kotak Emerging Equity Fund,Mid Cap Fund,0.50,0.60,Nifty Midcap 150 TRI
119775,DSP Midcap Fund,Mid Cap Fund,0.50,0.55,Nifty Midcap 150 TRI
120586,ICICI Prudential Bluechip Fund,Large Cap Fund,0.85,0.60,Nifty 100 TRI
