rank,company_name,ticker,isin,market_cap_crore,category
1,Reliance Industries,RELIANCE.NS,INE002A01018,2050000,large_cap
2,Tata Consultancy Services,TCS.NS,INE467B01029,1480000,large_cap
3,HDFC Bank,HDFCBANK.NS,INE040A01034,1230000,large_cap
4,Infosys,INFY.NS,INE009A01021,760000,large_cap
5,ICICI Bank,ICICIBANK.NS,INE090A01021,820000,large_cap
6,Hindustan Unilever,HINDUNILVR.NS,INE030A01027,595000,large_cap
7,ITC,ITC.NS,INE154A01025,560000,large_cap
8,Kotak Mahindra Bank,KOTAKBANK.NS,INE237A01028,380000,large_cap
9,Larsen & Toubro,LT.NS,INE018A01030,490000,large_cap
10,Bajaj Finance,BAJFINANCE.NS,INE296A01024,470000,large_cap
11,Titan Company,TITAN.NS,INE280A01028,310000,large_cap
12,Asian Paints,ASIANPAINT.NS,INE021A01026,270000,large_cap
13,Wipro,WIPRO.NS,INE075A01022,240000,large_cap
14,HCL Technologies,HCLTECH.NS,INE860A01027,395000,large_cap
15,Maruti Suzuki,MARUTI.NS,INE585B01010,330000,large_cap
16,Sun Pharmaceutical,SUNPHARMA.NS,INE044A01036,350000,large_cap
17,Nestle India,NESTLEIND.NS,INE397D01024,215000,large_cap
18,ONGC,ONGC.NS,INE213A01029,280000,large_cap
19,NTPC,NTPC.NS,INE733E01010,320000,large_cap
20,State Bank of India,SBIN.NS,INE062A01020,720000,large_cap
21,Avenue Supermarts (D-Mart),DMART.NS,INE192R01011,260000,large_cap
22,Grasim Industries,GRASIM.NS,INE047A01021,145000,large_cap
23,Tata Consumer Products,TATACONSUM.NS,INE192A01025,92000,large_cap
24,Coal India,COALINDIA.NS,INE522F01014,230000,large_cap
25,Adani Ports & SEZ,ADANIPORTS.NS,INE742F01042,258000,large_cap
26,UltraTech Cement,ULTRACEMCO.NS,INE481G01011,220000,large_cap
27,Bajaj Finserv,BAJAJFINSV.NS,INE918I01026,248000,large_cap
28,Tata Steel,TATASTEEL.NS,INE081A01020,180000,large_cap
29,Power Grid Corporation,POWERGRID.NS,INE752E01010,265000,large_cap
30,Axis Bank,AXISBANK.NS,INE238A01034,375000,large_cap
31,Tech Mahindra,TECHM.NS,INE669C01036,124000,large_cap
32,Dr. Reddy's Laboratories,DRREDDY.NS,INE089A01023,98000,large_cap
33,Divis Laboratories,DIVISLAB.NS,INE361B01024,100000,large_cap
34,Bharat Petroleum (BPCL),BPCL.NS,INE029A01011,115000,large_cap
35,Eicher Motors,EICHERMOT.NS,INE066A01013,105000,large_cap
36,Hero MotoCorp,HEROMOTOCO.NS,INE158A01026,90000,large_cap
37,Cipla,CIPLA.NS,INE059A01026,96000,large_cap
38,Hindalco Industries,HINDALCO.NS,INE038A01020,132000,large_cap
39,Mahindra & Mahindra,M&M.NS,INE101A01026,205000,large_cap
40,JSW Steel,JSWSTEEL.NS,INE019A01038,200000,large_cap
41,Britannia Industries,BRITANNIA.NS,INE216A01030,115000,large_cap
42,Siemens India,SIEMENS.NS,INE003A01024,140000,large_cap
43,Tata Motors,TATAMOTORS.NS,INE155A01022,195000,large_cap
44,Pidilite Industries,PIDILITIND.NS,INE318A01026,128000,large_cap
45,Dabur India,DABUR.NS,INE016A01026,90000,large_cap
46,Godrej Consumer Products,GODREJCP.NS,INE102D01028,105000,large_cap
47,Shree Cement,SHREECEM.NS,INE070A01015,90000,large_cap
48,Apollo Hospitals,APOLLOHOSP.NS,INE437A01024,88000,large_cap
